,US,Germany,Italy,"Korea, South",Iran,Spain,France,United Kingdom
0,6.0,2.0,2.0,2.0,2,2.0,2.0,2.0
1,7.0,2.0,3.0,2.0,2,3.0,2.0,2.0
2,11.0,3.0,7.0,6.0,4,5.0,2.0,3.0
3,12.0,3.0,10.0,8.0,5,10.0,2.0,4.0
4,14.0,7.0,12.0,10.0,8,17.0,2.0,6.0
5,17.0,9.0,17.0,12.0,12,28.0,3.0,8.0
6,21.0,11.0,21.0,13.0,16,35.0,4.0,8.0
7,22.0,17.0,29.0,13.0,19,54.0,4.0,8.0
8,28.0,24.0,34.0,16.0,26,55.0,6.0,21.0
9,36.0,28.0,52.0,17.0,34,133.0,9.0,21.0
10,40.0,44.0,79.0,28.0,43,195.0,11.0,56.0
11,47.0,67.0,107.0,28.0,54,289.0,19.0,56.0
12,54.0,84.0,148.0,35.0,66,342.0,19.0,72.0
13,63.0,,197.0,35.0,77,533.0,33.0,138.0
14,85.0,,233.0,42.0,92,623.0,48.0,178.0
15,108.0,,366.0,44.0,107,830.0,48.0,234.0
16,118.0,,463.0,50.0,124,1043.0,79.0,
17,200.0,,631.0,53.0,145,1375.0,91.0,
18,244.0,,827.0,54.0,194,,91.0,
19,307.0,,827.0,60.0,237,,148.0,
20,,,1266.0,66.0,291,,148.0,
21,,,1441.0,66.0,354,,148.0,
22,,,1809.0,72.0,429,,243.0,
23,,,2158.0,75.0,514,,450.0,
24,,,2503.0,75.0,611,,562.0,
25,,,2978.0,81.0,724,,,
26,,,3405.0,84.0,853,,,
27,,,4032.0,91.0,988,,,
28,,,4825.0,94.0,1135,,,
29,,,,102.0,1284,,,
30,,,,,1433,,,
31,,,,,1556,,,
