,Brazil,prc_daily_increase,T-3,R0_T-3,T-4,R0_T-4,T-5,R0_T-5,T-6,R0_T-6,T-7,R0_T-7,T-8,R0_T-8,pred_T-3,pred_T-4,pred_T-5,pred_T-6,pred_T-7,pred_T-8
2020-01-23,0.0,,,,,,,,,,,,,,0,0,0,0,0,0
2020-01-24,0.0,,,,,,,,,,,,,,0,0,0,0,0,0
2020-01-25,0.0,,,,,,,,,,,,,,0,0,0,0,0,0
2020-01-26,0.0,,0.0,,,,,,,,,,,,0,0,0,0,0,0
2020-01-27,0.0,,0.0,,0.0,,,,,,,,,,0,0,0,0,0,0
2020-01-28,0.0,,0.0,,0.0,,0.0,,,,,,,,0,0,0,0,0,0
2020-01-29,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,0,0,0,0,0,0
2020-01-30,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,0,0,0,0,0,0
2020-01-31,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-01,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-02,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-03,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-05,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-06,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-07,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-08,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-09,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-10,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-11,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-12,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-13,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-14,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-15,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-16,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
2020-02-17,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0
