,World Total,prc_daily_increase,T-3,R0_T-3,T-4,R0_T-4,T-5,R0_T-5,T-6,R0_T-6,T-7,R0_T-7,T-8,R0_T-8,pred_T-3,pred_T-4,pred_T-5,pred_T-6,pred_T-7,pred_T-8
2020-01-23,98.0,,,,,,,,,,,,,,98,98,98,98,98,98
2020-01-24,288.0,1.9387755102040818,,,,,,,,,,,,,288,288,288,288,288,288
2020-01-25,493.0,0.7118055555555556,,,,,,,,,,,,,493,493,493,493,493,493
2020-01-26,684.0,0.3874239350912778,98.0,6.979591836734694,,,,,,,,,,,684,684,684,684,684,684
2020-01-27,809.0,0.182748538011696,288.0,2.8090277777777777,98.0,8.255102040816327,,,,,,,,,809,809,809,809,809,809
2020-01-28,2651.0,2.276885043263288,493.0,5.377281947261663,288.0,9.20486111111111,98.0,27.051020408163264,,,,,,,2651,2651,2651,2651,2651,2651
2020-01-29,588.0,-0.7781969068276122,684.0,0.8596491228070176,493.0,1.1926977687626774,288.0,2.0416666666666665,98.0,6.0,,,,,588,588,588,588,588,588
2020-01-30,2068.0,2.5170068027210886,809.0,2.5562422744128552,684.0,3.0233918128654973,493.0,4.194726166328601,288.0,7.180555555555555,98.0,21.102040816326532,,,2068,2068,2068,2068,2068,2068
2020-01-31,1693.0,-0.1813346228239845,2651.0,0.6386269332327423,809.0,2.0927070457354757,684.0,2.4751461988304095,493.0,3.4340770791075053,288.0,5.878472222222222,98.0,17.275510204081634,1693,1693,1693,1693,1693,1693
2020-02-01,2111.0,0.24689899586532782,588.0,3.5901360544217686,2651.0,0.7963032817804602,809.0,2.6093943139678615,684.0,3.0862573099415203,493.0,4.281947261663286,288.0,7.329861111111111,2111,2111,2111,2111,2111,2111
2020-02-02,4749.0,1.24964471814306,2068.0,2.29642166344294,588.0,8.076530612244898,2651.0,1.7913994718973971,809.0,5.870210135970334,684.0,6.942982456140351,493.0,9.632860040567952,4749,4749,4749,4749,4749,4749
2020-02-03,3094.0,-0.348494419877869,1693.0,1.8275251033668045,2068.0,1.4961315280464216,588.0,5.261904761904762,2651.0,1.1671067521689928,809.0,3.8244746600741655,684.0,4.523391812865497,3094,3094,3094,3094,3094,3094
2020-02-04,4011.0,0.2963800904977376,2111.0,1.9000473709142587,1693.0,2.369167158889545,2068.0,1.9395551257253385,588.0,6.821428571428571,2651.0,1.5130139569973595,809.0,4.957972805933251,4011,4011,4011,4011,4011,4011
2020-02-05,3743.0,-0.06681625529793067,4749.0,0.7881659296694041,2111.0,1.7730933207010895,1693.0,2.2108682811577083,2068.0,1.8099613152804641,588.0,6.365646258503402,2651.0,1.4119200301772916,3743,3743,3743,3743,3743,3743
2020-02-06,3182.0,-0.14987977558108467,3094.0,1.0284421460892048,4749.0,0.6700357970098968,2111.0,1.50734249171009,1693.0,1.8795038393384524,2068.0,1.5386847195357833,588.0,5.41156462585034,3182,3182,3182,3182,3182,3182
2020-02-07,3574.0,0.1231929604022628,4011.0,0.8910496135627025,3094.0,1.1551389786683903,4749.0,0.7525794904190356,2111.0,1.693036475603979,1693.0,2.111045481393975,2068.0,1.7282398452611218,3574,3574,3574,3574,3574,3574
2020-02-08,2729.0,-0.2364297705651931,3743.0,0.7290943093775046,4011.0,0.6803789578658689,3094.0,0.8820297349709114,4749.0,0.5746472941671931,2111.0,1.2927522501184272,1693.0,1.6119314825753102,2729,2729,2729,2729,2729,2729
2020-02-09,3030.0,0.11029681201905461,3182.0,0.9522313010685104,3743.0,0.8095110873630778,4011.0,0.7554225878833208,3094.0,0.9793148028442146,4749.0,0.6380290587492103,2111.0,1.4353387020369492,3030,3030,3030,3030,3030,3030
2020-02-10,2612.0,-0.137953795379538,3574.0,0.7308337996642418,3182.0,0.8208673790069139,3743.0,0.6978359604595245,4011.0,0.6512091747693842,3094.0,0.8442146089204913,4749.0,0.5500105285323226,2612,2612,2612,2612,2612,2612
2020-02-11,2040.0,-0.21898928024502295,2729.0,0.7475265665078783,3574.0,0.5707890318970341,3182.0,0.6411062225015713,3743.0,0.5450173657493989,4011.0,0.5086013462976814,3094.0,0.6593406593406593,2040,2040,2040,2040,2040,2040
2020-02-12,419.0,-0.794607843137255,3030.0,0.1382838283828383,2729.0,0.1535360938072554,3574.0,0.11723559037493005,3182.0,0.1316781898177247,3743.0,0.11194229227892065,4011.0,0.10446272749937671,419,419,419,419,419,419
2020-02-13,15147.0,35.15035799522673,2612.0,5.799004594180705,3030.0,4.9990099009900995,2729.0,5.550384756320996,3574.0,4.238108561835478,3182.0,4.760213702074167,3743.0,4.046753940689286,15147,15147,15147,15147,15147,15147
2020-02-14,6517.0,-0.5697497854360599,2040.0,3.194607843137255,2612.0,2.495022970903522,3030.0,2.1508250825082507,2729.0,2.388054232319531,3574.0,1.823447118074986,3182.0,2.048082966687618,6517,6517,6517,6517,6517,6517
