,US,Germany,Italy,"Korea, South",Iran,Spain,France,United Kingdom,Brazil
0,65778.0,37323.0,74386.0,9137.0,27017.0,49515.0,25600.0,9640.0,2554.0
1,87148.02274212515,44267.03663109396,80835.56542900707,9145.845131075463,27587.707171049176,60106.46980225688,29338.149244146673,11674.656334116933,3354.9889252178064
2,115349.10006841105,52258.35868303965,87481.95184988763,9153.071667693774,28100.54681738971,72562.75376879386,33443.03208359471,14092.89060145104,4425.462017112521
3,152528.82850783202,61412.058652262014,94302.91072766038,9158.97475143095,28560.24261462658,87131.72428757198,37926.61369745261,16957.692405693793,5862.017246693787
4,201498.5663367629,71849.57788957554,101275.529563269,9163.796057019705,28971.39937195366,104080.5356834194,42798.69900232335,20340.688444248397,7797.948126927411
5,265935.0223273758,83698.27448425589,108376.52461017901,9167.733360848268,29338.432098971538,123695.17321466334,48066.78389170923,24323.049375813094,10417.953265308846
6,350641.975855811,97090.8957460138,115582.51646643893,9170.94843655464,29665.518129169726,146279.71850807394,53735.94296640683,28996.452314373382,13979.045741043774
7,461889.73544333305,112164.95837439914,122870.28469797951,9173.57355678193,29956.56759793893,172155.3253494693,59808.75493462434,34464.097281049086,18840.401658377556
8,607855.000797153,129062.04115855307,130216.99866170812,9175.716838259494,30215.208199287878,201658.90549293795,66285.26586855986,40841.77520513383,25506.152796578328
9,799190.2760622082,147926.99671986492,137600.4226458666,9177.466630081233,30444.78078164924,235141.53005607784,73162.9895788082,48258.98428867511,34687.003835569565
10,1049760.2824699974,168907.09035414623,144999.09430715302,9178.895112534277,30648.34294480587,272966.55796108744,80436.94353514486,56860.09074368329,47389.34631382918
