,US,Germany,Italy,"Korea, South",Iran,Spain,France,United Kingdom,Brazil
0,706.0,157.0,6820.0,120.0,1934.0,2808.0,1102.0,423.0,46.0
1,935.716175208285,207.99962539146216,7683.287794887018,120.5324621367005,2117.4645790938007,3524.3254369400306,1534.2618019734973,598.3673581171134,57.467434050726105
2,1247.577344215479,274.5392297010071,8607.612439210312,120.98884191485311,2309.3057955898594,4376.815358250106,2149.30925569908,846.5850400230314,68.88516544947139
3,1673.4844981699607,361.0305246456536,9591.773869782233,121.37975712153441,2509.1249962751003,5380.6714373249015,3029.855052261999,1197.9770162674586,79.7928688002467
4,2258.677924962669,473.0419280314029,10634.064354687078,121.71441294721659,2716.476923010126,6550.8433772121925,4298.43773578558,1695.514913112448,89.86267908243741
5,3067.7036713668776,617.5753481581972,11732.299482727358,122.00077074542882,2930.8754536414103,7901.70356163694,6137.733004938215,2400.1036935000448,98.90096690776603
6,4193.219822588515,803.4023940138052,12883.85635688935,122.24570214291084,3151.7995842904456,9446.722818906455,8821.79592961221,3398.080720012056,106.828844559769
7,5769.074791976345,1041.4711595292208,14085.717601449916,122.45512803096157,3378.6995296572104,11198.158994134606,12764.422051993153,4811.856896519029,113.65371685371156
8,7989.852424913608,1345.3964733721014,15334.519755388917,122.6341427014215,3611.0028274635856,13166.769285815002,18594.490189982123,6815.019022369724,119.44052704668616
9,11140.268778495774,1732.0484532029504,16626.604641426326,122.78712385320487,3848.1203445150945,15361.556019057984,27274.108709143708,9653.76739975395,124.28734716769948
10,15639.67448105207,2222.256366682742,17958.072362135106,122.91782946489663,4089.452094469577,17789.553816459935,40285.11288895142,13677.351529784366,128.30693669346016
