,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
0,104.0,130.0,155,114.0,139.0,120.0,130.0,134.0,151.0
1,174.0,159.0,229,147.0,245.0,165.0,191.0,189.0,151.0
2,222.0,196.0,322,199.0,388.0,222.0,204.0,246.0,162.0
3,337.0,262.0,453,253.0,593.0,259.0,288.0,295.0,200.0
4,451.0,482.0,655,306.0,978.0,400.0,380.0,374.0,321.0
5,519.0,670.0,888,367.0,1501.0,500.0,656.0,429.0,372.0
6,711.0,799.0,1128,438.0,2336.0,673.0,959.0,483.0,621.0
7,1109.0,1040.0,1694,495.0,2922.0,1073.0,1136.0,630.0,793.0
8,1561.0,1176.0,2036,658.0,3513.0,1695.0,1219.0,889.0,1021.0
9,2157.0,1457.0,2502,840.0,4747.0,2277.0,1794.0,1301.0,1546.0
10,2870.0,1908.0,3089,1036.0,5823.0,2277.0,2293.0,1790.0,1924.0
11,2968.0,2078.0,3858,1264.0,6566.0,5232.0,2293.0,2270.0,2247.0
12,4360.0,3675.0,4636,1534.0,7161.0,6391.0,3681.0,2634.0,2554.0
13,6141.0,4585.0,5883,1836.0,8042.0,7798.0,4496.0,3077.0,2985.0
14,8917.0,5795.0,7375,2337.0,9000.0,9942.0,4532.0,3692.0,3417.0
15,14157.0,7272.0,9172,2777.0,10075.0,11748.0,6683.0,4462.0,3904.0
16,19479.0,9257.0,10149,3548.0,11364.0,13910.0,7715.0,5467.0,4256.0
17,25825.0,12327.0,12462,4149.0,12729.0,17963.0,9124.0,6533.0,4579.0
18,33761.0,15320.0,15113,4731.0,13938.0,20410.0,10970.0,7791.0,5717.0
19,43850.0,19848.0,17660,5389.0,14991.0,25374.0,12758.0,9006.0,6836.0
20,54112.0,22213.0,21157,6343.0,16169.0,28768.0,14463.0,10395.0,8044.0
21,66055.0,24873.0,24747,7497.0,17361.0,35136.0,16243.0,12744.0,9056.0
22,84091.0,29056.0,27980,8672.0,18407.0,39885.0,20123.0,15126.0,10360.0
23,102276.0,32986.0,31506,10131.0,19644.0,49515.0,22622.0,17843.0,11130.0
24,122069.0,37323.0,35713,11917.0,20610.0,57786.0,25600.0,20970.0,12161.0
25,141205.0,43938.0,41035,13584.0,21638.0,65719.0,29551.0,24219.0,14034.0
26,162707.0,50871.0,47021,15770.0,23049.0,73235.0,33402.0,27062.0,16170.0
27,188724.0,57695.0,53578,18328.0,24811.0,80110.0,38105.0,29954.0,18092.0
28,214205.0,62095.0,59138,21102.0,27017.0,87956.0,40708.0,34281.0,19638.0
29,244610.0,66885.0,63927,24490.0,29406.0,95923.0,45170.0,38815.0,20727.0
30,276547.0,71808.0,69176,27938.0,32332.0,104118.0,52827.0,43789.0,22192.0
31,309699.0,77872.0,74386,32008.0,35408.0,112065.0,57749.0,48718.0,23430.0
32,337573.0,84794.0,80589,36793.0,38309.0,119199.0,59929.0,53699.0,25262.0
33,367215.0,91159.0,86498,42853.0,41495.0,126168.0,65202.0,57772.0,28320.0
34,397992.0,96092.0,92472,47121.0,44605.0,131646.0,69500.0,61422.0,30425.0
35,429686.0,100123.0,97689,52763.0,47593.0,136675.0,71412.0,66738.0,33682.0
36,464442.0,103374.0,101739,57999.0,50468.0,141942.0,75343.0,72224.0,36658.0
37,497943.0,107663.0,105792,62773.0,53183.0,148220.0,79163.0,77387.0,38654.0
38,527969.0,113296.0,110574,68622.0,55743.0,153222.0,83057.0,82293.0,40743.0
39,556522.0,118181.0,115242,74588.0,58226.0,158273.0,87366.0,86660.0,43079.0
40,581813.0,122171.0,119827,80949.0,60500.0,163027.0,91738.0,90273.0,45757.0
41,608878.0,124908.0,124632,87147.0,62589.0,166831.0,94863.0,93812.0,50036.0
42,637974.0,127854.0,128948,93558.0,64586.0,170099.0,121712.0,98017.0,54043.0
43,669272.0,130072.0,132547,99399.0,66220.0,172541.0,125394.0,102365.0,59324.0
44,701996.0,131359.0,135586,106498.0,68192.0,177644.0,130365.0,107465.0,63100.0
45,730337.0,134753.0,139422,114431.0,70029.0,184948.0,133585.0,112808.0,67446.0
46,756375.0,137698.0,143626,124054.0,71686.0,190839.0,146075.0,117798.0,73235.0
47,783716.0,141397.0,147577,134687.0,73303.0,191726.0,148084.0,122534.0,79685.0
48,809228.0,143342.0,152271,145268.0,74877.0,198674.0,148086.0,126394.0,87187.0
49,837422.0,145184.0,156363,155370.0,76389.0,200210.0,153011.0,131260.0,92202.0
50,871617.0,147065.0,159516,165929.0,77995.0,204178.0,155393.0,136035.0,97100.0
51,907908.0,148291.0,162488,177160.0,79494.0,208389.0,158168.0,141540.0,101826.0
52,940829.0,150648.0,165155,187859.0,80868.0,213024.0,155980.0,146708.0,108620.0
