,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
0,2741180.0,196370.0,240961.0,660231.0,232863.0,250103.0,203640.0,285285.0,1496858.0
1,2746955.0,196384.0,241041.0,665829.0,235105.0,250117.0,203680.0,285638.0,1537716.0
2,2752508.0,196396.0,241116.0,671281.0,237344.0,250130.0,203718.0,285975.0,1579057.0
3,2757846.0,196408.0,241188.0,676591.0,239579.0,250142.0,203753.0,286297.0,1620870.0
4,2762976.0,196419.0,241256.0,681760.0,241811.0,250153.0,203786.0,286606.0,1663144.0
5,2767908.0,196429.0,241320.0,686792.0,244039.0,250163.0,203817.0,286900.0,1705867.0
6,2772647.0,196438.0,241382.0,691688.0,246264.0,250172.0,203846.0,287182.0,1749027.0
7,2777202.0,196447.0,241440.0,696451.0,248484.0,250181.0,203873.0,287452.0,1792613.0
8,2781579.0,196455.0,241495.0,701083.0,250700.0,250189.0,203899.0,287709.0,1836613.0
9,2785784.0,196463.0,241548.0,705587.0,252912.0,250197.0,203923.0,287955.0,1881013.0
10,2789825.0,196470.0,241598.0,709965.0,255119.0,250204.0,203945.0,288191.0,1925802.0
