,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
0,79526.0,7569.0,30560.0,1915.0,6640.0,26621.0,26383.0,31930.0,11123.0
1,80776.0,7684.0,30681.0,2015.0,6680.0,26662.0,26672.0,32461.0,11420.0
2,81968.0,7793.0,30793.0,2116.0,6718.0,26700.0,26946.0,32970.0,11709.0
3,83103.0,7898.0,30899.0,2218.0,6754.0,26733.0,27205.0,33456.0,11990.0
4,84185.0,7998.0,30998.0,2321.0,6788.0,26763.0,27450.0,33921.0,12262.0
5,85213.0,8093.0,31090.0,2424.0,6821.0,26791.0,27682.0,34365.0,12527.0
6,86191.0,8183.0,31176.0,2526.0,6853.0,26815.0,27901.0,34789.0,12782.0
7,87119.0,8270.0,31257.0,2629.0,6883.0,26837.0,28108.0,35192.0,13029.0
8,88001.0,8352.0,31333.0,2732.0,6911.0,26857.0,28304.0,35577.0,13268.0
9,88837.0,8430.0,31403.0,2834.0,6939.0,26875.0,28488.0,35944.0,13498.0
10,89629.0,8504.0,31469.0,2936.0,6965.0,26891.0,28662.0,36292.0,13720.0
